CustomerID,Age,Gender,Income,Channel,CampaignType,Cost,ClickThroughRate,ConversionRate,Impressions,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,Conversions,Revenue,Cost per Impression,Revenue Per Impression,Conversions Rate
15996,43,Female,44718,SEO,Retention,1424.613446,0.236740438,0.19006105,49,9.499010059,3.501106177,52,13,1,5,1502,0,0,29.0737438,0,0.003878797
15991,62,Female,69289,SEO,Retention,6118.863881,0.240393172,0.047079285,39,2.210141551,6.735463832,24,6,5,3,3075,1,100,156.8939457,2.564102564,0.001207161
15983,31,Male,105478,SEO,Retention,364.9131743,0.160482607,0.0767679,42,5.89412572,0.857562613,0,8,0,2,4968,1,100,8.688408912,2.380952381,0.001827807
15982,58,Male,117393,SEO,Conversion,9935.375535,0.017600118,0.120203278,34,9.706490801,5.742376095,69,16,3,7,51,0,0,292.2169275,0,0.003535391
15978,33,Female,43238,SEO,Conversion,5489.460128,0.213609315,0.199176028,16,3.789523528,7.688462763,98,16,5,5,2215,1,100,343.091258,6.25,0.012448502
15976,45,Female,102160,SEO,Consideration,6467.202279,0.17413093,0.192945663,22,2.252254091,5.045601514,63,1,0,1,3673,0,0,293.96374,0,0.008770257
15970,27,Female,133049,SEO,Retention,7922.988158,0.222822857,0.068983106,17,7.665415741,7.896216657,69,5,5,4,1280,0,0,466.0581269,0,0.00405783
15969,42,Female,86833,SEO,Consideration,7023.853982,0.268347993,0.1773507,17,9.622083893,13.98273129,38,4,6,6,3171,1,100,413.1678813,5.882352941,0.010432394
15957,52,Male,97391,SEO,Awareness,7356.291926,0.252890682,0.145568644,19,9.765381041,7.373841021,32,4,8,1,2794,0,0,387.1732593,0,0.007661508
15955,66,Female,46250,SEO,Retention,7908.831898,0.119010522,0.089173711,44,9.08382105,14.21680938,7,17,6,8,369,1,100,179.7461795,2.272727273,0.002026675
15954,60,Male,72018,SEO,Conversion,2734.430422,0.143447986,0.15570236,40,5.014305687,14.48432553,97,14,5,5,3555,0,0,68.36076055,0,0.003892559
8011,28,Male,29605,SEO,Awareness,2898.253003,0.198557433,0.156678707,16,9.164109335,1.372299211,23,18,6,5,2403,1,100,181.1408127,6.25,0.009792419
15949,61,Female,102632,SEO,Awareness,780.861935,0.166152834,0.023294713,30,7.732198319,1.776523172,77,0,0,1,876,0,0,26.02873117,0,0.00077649
8013,53,Male,64608,SEO,Awareness,1520.424719,0.190281823,0.161850372,8,8.497723392,14.25272496,81,8,1,2,2818,1,100,190.0530899,12.5,0.020231297
15939,45,Female,111650,SEO,Conversion,2050.637232,0.018878282,0.190188363,25,2.827361845,7.306056308,16,15,2,7,4218,1,100,82.02548928,4,0.007607535
15934,43,Female,115263,SEO,Retention,888.1471653,0.053571736,0.072982673,17,1.337380772,5.72241051,68,18,2,7,2624,0,0,52.2439509,0,0.004293098
15932,43,Female,96821,SEO,Conversion,7418.475569,0.218784824,0.057540735,22,7.595189011,7.808165364,17,12,0,7,520,1,100,337.203435,4.545454545,0.002615488
15930,54,Male,44599,SEO,Retention,6159.560168,0.02028326,0.015390342,1,7.553021566,2.21663174,47,15,2,1,1754,0,0,6159.560168,0,0.015390342
15927,44,Female,55777,SEO,Consideration,2085.198268,0.194410686,0.079621857,22,7.356250296,12.6611518,7,17,3,5,4881,1,100,94.78173945,4.545454545,0.003619175
15923,61,Female,52162,SEO,Retention,8499.909646,0.259330865,0.116902697,0,3.940296752,4.343849693,14,13,7,8,707,1,100,,,
15921,64,Female,133806,SEO,Conversion,1163.202735,0.119167304,0.179220877,15,8.289861134,7.382427425,46,0,9,9,4484,0,0,77.546849,0,0.011948058
8021,47,Female,119233,SEO,Consideration,8333.232297,0.257696341,0.011249365,36,9.691906324,1.470518153,63,14,0,5,2586,1,100,231.4786749,2.777777778,0.000312482
15920,37,Male,28958,SEO,Retention,207.2001765,0.085205033,0.157277552,37,8.223199346,12.29048919,84,6,3,1,2838,0,0,5.60000477,0,0.004250745
15917,48,Male,47268,SEO,Retention,5652.054671,0.108427201,0.142806958,37,1.450168308,0.525342437,27,13,7,1,574,1,100,152.7582344,2.702702703,0.003859648
15913,26,Female,68101,SEO,Awareness,2341.264994,0.19281364,0.196405236,6,8.633816811,6.011775238,51,9,1,3,3858,0,0,390.2108323,0,0.032734206
15910,62,Male,146187,SEO,Consideration,5918.895233,0.176718834,0.191386453,27,8.05692701,3.421774581,60,9,0,5,741,0,0,219.218342,0,0.007088387
15904,34,Female,118279,SEO,Consideration,3292.620031,0.041486429,0.096825464,8,2.81333545,8.732718171,59,9,0,2,3831,0,0,411.5775039,0,0.012103183
15900,46,Female,25702,SEO,Retention,1542.278544,0.066759821,0.032126344,32,2.291449579,2.196042737,9,4,2,7,2581,1,100,48.1962045,3.125,0.001003948
15898,38,Female,33550,SEO,Awareness,2186.938839,0.249681401,0.073648264,47,4.913055773,13.59930365,41,4,1,2,4206,1,100,46.5306136,2.127659574,0.001566984
15897,38,Female,59606,SEO,Conversion,6375.406735,0.071481221,0.017552787,7,9.542765767,12.58849146,12,14,6,9,4896,1,100,910.7723907,14.28571429,0.002507541
15881,50,Female,77357,SEO,Consideration,6211.011298,0.084652248,0.098203699,29,1.39863883,1.367849884,84,10,3,5,4678,1,100,214.1728034,3.448275862,0.003386334
15877,62,Male,128196,SEO,Awareness,7582.448505,0.265789679,0.044440894,17,3.09245428,12.47317452,26,19,9,5,2108,1,100,446.0263826,5.882352941,0.00261417
15876,58,Female,24122,SEO,Conversion,4429.771979,0.199149407,0.152802942,31,2.808767962,8.567276646,20,16,8,7,4886,1,100,142.8958703,3.225806452,0.004929127
15875,55,Female,27585,SEO,Retention,279.8614272,0.151318448,0.041338862,28,3.847153595,12.48565003,20,14,9,5,1019,1,100,9.995050971,3.571428571,0.001476388
15874,60,Female,136180,SEO,Retention,5623.654151,0.269549011,0.142951534,45,4.987440243,2.754244132,12,14,5,2,914,1,100,124.9700922,2.222222222,0.003176701
15873,65,Female,122017,SEO,Retention,3260.233075,0.031278447,0.18333786,8,8.183537366,9.340925897,48,5,3,0,3619,0,0,407.5291344,0,0.022917233
15864,42,Female,93694,SEO,Conversion,7988.44238,0.10801216,0.08314165,6,7.174640541,6.461275249,8,9,4,1,354,1,100,1331.407063,16.66666667,0.013856942
15860,67,Male,146352,SEO,Awareness,6400.514295,0.230008385,0.042006061,3,5.318316882,2.25842379,79,6,4,7,1074,0,0,2133.504765,0,0.01400202
8038,61,Female,149203,SEO,Consideration,9435.204948,0.242092385,0.126916001,32,8.288580862,2.979151167,65,15,1,5,4709,1,100,294.8501546,3.125,0.003966125
15848,29,Male,70411,SEO,Awareness,4917.147561,0.15811543,0.079199056,41,2.911585301,12.05498801,72,5,0,0,812,0,0,119.9304283,0,0.001931684
15846,59,Male,103081,SEO,Awareness,1289.41014,0.159518876,0.045071087,23,7.258307061,14.30954411,4,17,4,1,2548,1,100,56.06131043,4.347826087,0.001959612
15834,27,Female,83887,SEO,Conversion,1396.00824,0.042838262,0.09464057,8,8.910130482,4.626351271,49,10,0,9,4363,1,100,174.50103,12.5,0.011830071
8042,68,Female,142893,SEO,Retention,5313.324459,0.242632441,0.021182732,46,8.866645176,10.12462866,10,9,9,9,3513,1,100,115.5070535,2.173913043,0.000460494
8043,24,Male,43386,SEO,Retention,5705.127963,0.049681979,0.185559236,21,2.29058995,8.553267292,33,5,9,0,913,0,0,271.6727601,0,0.008836154
15833,56,Female,94884,SEO,Consideration,2202.455359,0.265595197,0.185033398,43,1.510197376,8.772510161,93,14,2,8,2711,0,0,51.21989207,0,0.004303102
15825,60,Male,106111,SEO,Awareness,7415.418697,0.023095186,0.06207137,1,5.728641559,7.064254964,94,10,2,2,4248,1,100,7415.418697,100,0.06207137
15813,40,Male,88956,SEO,Retention,2421.060027,0.201666482,0.112164024,24,2.496823736,11.77364551,68,14,3,1,217,1,100,100.8775011,4.166666667,0.004673501
15812,20,Female,146078,SEO,Consideration,2204.474266,0.257870919,0.04603919,43,3.977735019,7.885078534,45,8,5,5,565,0,0,51.2668434,0,0.001070679
15806,33,Male,45432,SEO,Retention,8560.260888,0.216459834,0.190608002,43,2.977257236,6.513607779,20,17,1,0,3636,1,100,199.0758346,2.325581395,0.004432744
8049,42,Female,127955,SEO,Retention,408.6905549,0.200642791,0.108171426,46,6.915494791,13.97439424,96,17,4,9,3404,1,100,8.88457728,2.173913043,0.002351553
15797,53,Male,50284,SEO,Consideration,7521.653636,0.10716247,0.14828093,20,4.593226045,14.34205289,44,17,1,7,3410,0,0,376.0826818,0,0.007414047
15796,32,Female,62523,SEO,Consideration,8542.759434,0.298961706,0.128318227,29,8.564078218,9.901777918,69,19,7,0,2333,1,100,294.5779115,3.448275862,0.004424766
8052,26,Male,58930,SEO,Consideration,521.8715549,0.13181342,0.193430165,6,2.665549789,10.22262775,77,8,8,3,2124,1,100,86.97859248,16.66666667,0.032238361
15794,43,Female,99397,SEO,Awareness,6435.893328,0.28021365,0.0319504,15,7.523647133,14.78090017,68,2,3,8,1047,0,0,429.0595552,0,0.002130027
15788,43,Female,127754,SEO,Conversion,7487.833934,0.140575255,0.134529776,49,7.867055966,5.970185258,6,12,1,2,2466,1,100,152.8129374,2.040816327,0.002745506
15787,40,Female,58547,SEO,Awareness,8992.758159,0.090404035,0.012460636,12,2.094802795,5.886061139,59,4,3,2,3990,1,100,749.3965133,8.333333333,0.001038386
15785,50,Female,136752,SEO,Retention,3834.12303,0.096119372,0.106307358,14,2.612446498,9.695785338,86,17,0,4,3137,0,0,273.8659307,0,0.007593383
15784,62,Female,96309,SEO,Awareness,6562.370826,0.05237935,0.129467316,18,1.37138045,4.476508461,47,15,9,2,3315,0,0,364.576157,0,0.007192629
15782,35,Female,51657,SEO,Awareness,8738.083127,0.077434799,0.17664034,10,9.644964049,8.935764895,39,13,5,0,4739,0,0,873.8083127,0,0.017664034
15779,64,Male,81486,SEO,Retention,251.3939093,0.04159833,0.111611702,6,3.959336631,4.336649186,79,16,9,0,1759,1,100,41.89898488,16.66666667,0.01860195
15766,36,Female,105890,SEO,Consideration,8033.469278,0.185132123,0.085719952,14,5.375110598,12.31154374,55,2,0,3,1509,1,100,573.8192341,7.142857143,0.006122854
15761,31,Male,32202,SEO,Retention,6838.066839,0.054172127,0.062586733,7,3.776437691,4.486248877,47,18,0,9,4191,0,0,976.8666913,0,0.008940962
